KI6PUR,KJ6AMM,Good
KI6PUR,KN6BAW,Poor
KI6PUR,KE6BJQ,Poor
KI6PUR,KR6DD,Unint
KI6PUR,N9DK,Good
KI6PUR,KZ6DM,Good
KI6PUR,KN6DSE,Poor
KI6PUR,KK6DZK,Poor
KI6PUR,KK6EAW,Unint
KI6PUR,KM6EEI,Good
KI6PUR,KN6EKC,Unint
KI6PUR,KK6EKN,Good
KI6PUR,KN6EKW,Good
KI6PUR,AE6EO,Good
KI6PUR,K6FSH,Good
KI6PUR,KN6GHE,Unint
KI6PUR,KN6GHD,Good
KI6PUR,KI6HLH,Good
KI6PUR,KM6I,Good
KI6PUR,WA1IAM,Good
KI6PUR,N6IDV,Good
KI6PUR,N6IHT,Good
KI6PUR,KE6INY,Good
KI6PUR,KE7JAC,Good
KI6PUR,AJ6JN,Good
KI6PUR,WU6K,Good
KI6PUR,KD6KDL,Good
KI6PUR,AI6KG,Good
KI6PUR,KI6LCP,Unint
KI6PUR,KM6LTA,Poor
KI6PUR,KK6LTH,Good
KI6PUR,KK6LTX,Poor
KI6PUR,AJ6ME,Good
KI6PUR,KJ6MIN,Good
KI6PUR,KI6MXP,Good
KI6PUR,KA6MZE,Good
KI6PUR,NE5NA,Good
KI6PUR,W6OWI,Good
KI6PUR,KI6PUR,Trans
KI6PUR,KI6PUW,Unint
KI6PUR,KI6PVA,Unint
KI6PUR,AG6SR,Unint
KI6PUR,K9STV,Good
KI6PUR,AI6SZ,Poor
KI6PUR,KG6TNE,Poor
KI6PUR,KK6TOZ,Good
KI6PUR,KG6VYI,Unint
KI6PUR,KI6VYM,Good
KI6PUR,KG6VYP,Unint
KI6PUR,AJ6XZ,Good
KI6PUR,N6YXJ,Poor
KI6PUR,K6ZJI,Good
KI6PUR,KF6ZSQ,Good
NE5NA,KJ6AMM,Good
NE5NA,KN6BAW,No Rep
NE5NA,KE6BJQ,No Rep
NE5NA,KK6DBA,No Rep
NE5NA,KR6DD,Poor
NE5NA,N9DK,Good
NE5NA,KZ6DM,Good
NE5NA,KN6DSE,No Rep
NE5NA,KK6DZK,Poor
NE5NA,KK6EAW,Good
NE5NA,KM6EEI,Good
NE5NA,KN6EKC,No Rep
NE5NA,KK6EKN,Good
NE5NA,KN6EKW,No Rep
NE5NA,AE6EO,Good
NE5NA,K6FSH,Good
NE5NA,KN6GHE,No Rep
NE5NA,KN6GHD,Unint
NE5NA,KI6HLH,Good
NE5NA,KM6I,No Rep
NE5NA,WA1IAM,Good
NE5NA,N6IDV,Good
NE5NA,N6IHT,Good
NE5NA,KE6INY,No Rep
NE5NA,KE7JAC,Unint
NE5NA,AJ6JN,Good
NE5NA,WU6K,Good
NE5NA,KD6KDL,Good
NE5NA,AI6KG,Good
NE5NA,KI6LCP,Good
NE5NA,KM6LTA,Good
NE5NA,KK6LTH,Good
NE5NA,KK6LTX,Unint
NE5NA,AJ6ME,No Rep
NE5NA,KJ6MIN,No Rep
NE5NA,KI6MXP,Good
NE5NA,KA6MZE,No Rep
NE5NA,NE5NA,Trans
NE5NA,W6OWI,Good
NE5NA,KI6PUR,Good
NE5NA,KI6PUW,Unint
NE5NA,KI6PVA,Unint
NE5NA,AG6SR,Good
NE5NA,K9STV,Good
NE5NA,AI6SZ,Poor
NE5NA,KG6TNE,Good
NE5NA,KK6TOZ,Unint
NE5NA,KG6VYI,Poor
NE5NA,KI6VYM,Poor
NE5NA,KG6VYP,Unint
NE5NA,AJ6XZ,Unint
NE5NA,N6YXJ,Unint
NE5NA,K6ZJI,No Rep
NE5NA,KF6ZSQ,Good
